name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;173;0;242;3051;933;3051;887;0
header;66;184;66;222;1690;222;1690;184
A;865;246;865;273;888;273;888;246
A;890;811;890;813;891;813;891;811
B;867;927;867;957;891;957;891;927
A;770;1032;770;1040;777;1040;777;1032
C;869;1617;869;1645;889;1645;889;1617
B;770;1633;770;1650;796;1650;796;1633
A;614;1868;614;1879;621;1879;621;1868
B;556;2101;556;2112;564;2112;564;2101
D;872;2308;872;2334;894;2334;894;2308
A;780;2488;780;2489;780;2489;780;2488
A;787;2867;787;2891;801;2891;801;2867
