name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;439;0;554;3065;931;3065;908;0
header;73;156;73;192;1688;192;1688;156
A;866;217;866;247;891;247;891;217
A;847;406;847;414;855;414;855;406
A;620;511;620;523;628;523;628;511
A;493;681;493;688;499;688;499;681
B;878;893;878;919;898;919;898;893
B;540;1244;540;1255;547;1255;547;1244
A;696;1316;696;1340;710;1340;710;1316
C;881;1559;881;1587;903;1587;903;1559
B;629;1752;629;1768;638;1768;638;1752
A;856;1796;856;1813;864;1813;864;1796
A;515;2065;515;2090;529;2090;529;2065
D;888;2246;888;2276;911;2276;911;2246
A;815;2622;815;2638;823;2638;823;2622
B;707;2712;707;2730;716;2730;716;2712
A;648;2761;648;2777;657;2777;657;2761
